arbID,Zoning District
1, "R4-
2, "PAR
3, "PAR
4, "C4-4
5, "PAR
6, "PAR
7, "R4
8, "PAR
9, "PAR
10, "PLAYGROUN
11, "PAR
12, "PAR
13, "R
14, "PAR
15, "PAR
16, "R5
17, "PAR
18, "PAR
19, "PAR
20, "PAR
21, "PAR
22, "PAR
23, "PAR
24, "PAR
25, "PAR
26, "PAR
27, "R6
28, "PAR
29, "R5
30, "PAR
31, "PAR
32, "PAR
33, "PAR
34, "R7
35, "R4
36, "PAR
37, "PAR
38, "R6
39, "PAR
40, "PAR
41, "PAR
42, "PAR
43, "PAR
44, "PAR
45, "R4-
46, "PAR
47, "PAR
48, "PAR
49, "PAR
50, "R6
51, "R4
52, "PAR
53, "PAR
54, "R3
55, "PAR
56, "M1-2/R
57, "PAR
58, "M1-
59, "PAR
60, "PAR
61, "R5
62, "PAR
63, "PAR
64, "PAR
65, "PAR
66, "PAR
67, "R6
68, "PAR
69, "PAR
70, "R7
71, "PAR
72, "R6
73, "PAR
74, "PAR
75, "PAR
76, "R6
77, "PAR
78, "R6
79, "PAR
80, "R
81, "PAR
82, "PAR
83, "PAR
84, "PAR
85, "PLAYGROUN
86, "PAR
87, "PAR
88, "R7
89, "R6
90, "PAR
91, "R3-
92, "R4-
93, "PAR
94, "PAR
95, "PAR
96, "PAR
97, "PAR
98, "R6
99, "PAR
100, "PAR
101, "PAR
102, "PAR
103, "M1-1/R7
104, "PAR
105, "PAR
106, "PAR
107, "PAR
108, "PAR
109, "R
110, "R6
111, "R4-
112, "PAR
113, "PAR
114, "PAR
115, "PAR
116, "PAR
117, "PAR
118, "R6
119, "PAR
120, "PAR
121, "PAR
122, "PAR
123, "PAR
124, "PAR
125, "R6
126, "R6
127, "PAR
128, "PAR
129, "PAR
130, "R6
131, "R5
132, "PAR
133, "PLAYGROUN
134, "M1-
135, "PAR
136, "PAR
137, "R4-
138, "PAR
139, "R5
140, "PAR
141, "PAR
142, "PAR
143, "C8-
144, "PAR
145, "R6
146, "PAR
147, "PAR
148, "M1-4/R8
149, "PAR
150, "PAR
151, "PAR
152, "R5
153, "C8-
154, "R4-
155, "PAR
156, "PAR
157, "PAR
158, "PAR
159, "R6
160, "PAR
161, "PAR
162, "R7
163, "PAR
164, "PAR
165, "R
166, "PAR
167, "PAR
168, "C4-
169, "R6
170, "PAR
171, "M1-
172, "PAR
173, "PAR
174, "C4-5
175, "PAR
176, "R
177, "M1-
178, "R5
179, "R6
180, "PAR
181, "PAR
182, "PAR
183, "PAR
184, "PAR
185, "PAR
186, "PAR
187, "PAR
188, "PAR
189, "PAR
190, "PAR
191, "R6
192, "R4
193, "PAR
194, "PAR
195, "PAR
196, "M1-1/R6
197, "PAR
198, "PAR
199, "PAR
200, "R5
201, "PAR
202, "PAR
203, "PAR
204, "R7
205, "R5
206, "R6
207, "M1-4/R7
208, "PAR
209, "M1-4/R6
210, "PAR
211, "M1-
212, "R6
213, "PAR
214, "R5
215, "PAR
216, "R6
217, "C8-
218, "PAR
219, "C4-3
220, "PAR
221, "PAR
222, "C4-2
223, "PAR
224, "R6
225, "PAR
226, "M1-
227, "PAR
228, "PAR
229, "M1-2/R
230, "C8-
231, "PAR
232, "C4-
233, "PAR
234, "R5
235, "PAR
236, "PAR
237, "PAR
238, "M1-
239, "PAR
240, "PAR
241, "PAR
242, "PAR
243, "PAR
244, "PAR
245, "PAR
246, "PAR
247, "PAR
248, "M1-2/R6
249, "PAR
250, "PAR
251, "PAR
252, "PAR
253, "R
254, "PAR
255, "PAR
256, "PAR
257, "PAR
258, "PAR
259, "PAR
260, "PAR
261, "PAR
262, "C8-
263, "PLAYGROUN
264, "R5
265, "PAR
266, "R6
267, "C6-
268, "PAR
269, "PAR
270, "R6
271, "R6
272, "R6
273, "PAR
274, "R5
275, "PAR
276, "PAR
277, "PAR
278, "PLAYGROUN
279, "PAR
280, "PAR
281, "PAR
282, "PAR
283, "M1-2/R6
284, "PAR
285, "R4
286, "PAR
287, "R7
288, "PAR
289, "PAR
290, "R6
291, "PAR
292, "PAR
293, "PAR
294, "PAR
295, "PAR
296, "PAR
297, "PAR
298, "PAR
299, "PAR
300, "R6
301, "PAR
302, "PAR
303, "PAR
304, "R
305, "R6
306, "PAR
307, "R4-
308, "PAR
309, "R7-
310, "C4-
311, "M1-
312, "PAR
313, "PAR
314, "PLAYGROUN
315, "PAR
316, "R5
317, "R5
318, "PAR
319, "PAR
320, "R5
321, "PAR
322, "PAR
323, "PAR
324, "R4-
325, "PAR
326, "PAR
327, "PAR
328, "R5
329, "PAR
330, "PAR
331, "M1-4/R7
332, "R
333, "R5
334, "PAR
335, "PAR
336, "R
337, "PAR
338, "R5
339, "PAR
340, "M1-
341, "R6
342, "C3
343, "R
344, "PAR
345, "R3-
346, "PAR
347, "R5
348, "PLAYGROUN
349, "PAR
350, "PLAYGROUN
351, "PAR
352, "PAR
353, "PAR
354, "PAR
355, "R6
356, "R
357, "PAR
358, "R7
359, "PAR
360, "PAR
361, "C8-
362, "R7
363, "PAR
364, "PAR
365, "PLAYGROUN
366, "PAR
367, "PAR
368, "R5
369, "PAR
370, "R4
371, "PAR
372, "PLAYGROUN
373, "C8-
374, "R5
375, "R5
376, "PAR
377, "PAR
378, "PAR
379, "R7
380, "PAR
381, "PAR
382, "PAR
383, "PAR
384, "PAR
385, "R
386, "PAR
387, "R
388, "R5
389, "R
390, "PAR
391, "PAR
392, "C4-5
393, "PAR
394, "PAR
395, "C4-
396, "R7
397, "PAR
398, "PAR
399, "PAR
400, "PAR
401, "M3-
402, "R5
403, "R6
404, "PAR
405, "PUBLIC PLAC
406, "PAR
